Prior ID,Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
290,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs pharmacological,Semi-objective,Any,50-200,-2.4,1.63,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
291,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs pharmacological,Subjective,Any,50-200,-1.36,1.4,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
292,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),All-cause mortality,Any,50-200,-3.39,1.84,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
293,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),Semi-objective,Any,50-200,-1.72,1.85,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
294,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),Subjective,Any,50-200,-0.68,1.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
295,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs placebo/control,All-cause mortality,Any,>200,-3.06,1.55,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
296,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs placebo/control,Semi-objective,Any,>200,-1.43,1.55,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
297,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs placebo/control,Subjective,Any,>200,-0.38,1.38,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
298,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs pharmacological,All-cause mortality,Any,>200,-3.69,0.74,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
299,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs pharmacological,Semi-objective,Any,>200,-2.01,1.63,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
300,I-squared,Binary,Log risk ratio,Logit-t,Pharmacological vs pharmacological,Subjective,Any,>200,-0.97,1.4,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
301,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),All-cause mortality,Any,>200,-3,1.84,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
302,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),Semi-objective,Any,>200,-1.32,1.85,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
303,I-squared,Binary,Log risk ratio,Logit-t,Non-pharmacological (any),Subjective,Any,>200,-0.29,1.02,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
304,I-squared,Binary,Risk difference,Logit-t,General,General,Any,Any,-0.37,1.47,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
305,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,All-cause mortality,Any,<50,-2.26,0.99,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
306,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Semi-objective,Any,<50,-1.02,1.32,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
307,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Subjective,Any,<50,-0.3,1.08,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
308,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,All-cause mortality,Any,<50,-2.78,0.74,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
309,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Semi-objective,Any,<50,-1.57,1.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
310,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Subjective,Any,<50,-0.78,1.3,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
311,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),All-cause mortality,Any,<50,-2.34,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
312,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Semi-objective,Any,<50,-1.16,2.27,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
313,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Subjective,Any,<50,-0.43,1.21,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
314,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,All-cause mortality,Any,50-200,-1.87,0.98,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
315,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Semi-objective,Any,50-200,-0.62,1.31,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
316,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Subjective,Any,50-200,0.09,1.08,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
317,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,All-cause mortality,Any,50-200,-2.38,0.72,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
318,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Semi-objective,Any,50-200,-1.17,1.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
319,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Subjective,Any,50-200,-0.39,1.29,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
320,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),All-cause mortality,Any,50-200,-1.94,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
321,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Semi-objective,Any,50-200,-0.77,2.27,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
322,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Subjective,Any,50-200,-0.03,1.2,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
323,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,All-cause mortality,Any,>200,-1.69,0.98,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
324,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Semi-objective,Any,>200,-0.44,1.32,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
325,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs placebo/control,Subjective,Any,>200,0.27,1.08,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
326,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,All-cause mortality,Any,>200,-2.21,0.73,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
327,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Semi-objective,Any,>200,-0.99,1.16,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
328,I-squared,Binary,Risk difference,Logit-t,Pharmacological vs pharmacological,Subjective,Any,>200,-0.21,1.29,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
329,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),All-cause mortality,Any,>200,-1.77,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
330,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Semi-objective,Any,>200,-0.59,2.27,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
331,I-squared,Binary,Risk difference,Logit-t,Non-pharmacological (any),Subjective,Any,>200,0.015,1.21,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
332,I-squared,Continuous,Standardised mean difference,Logit-t,General,General,Any,Any,-0.38,2.33,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
333,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Obstetric,Any (excluding cancer and respiratory diseases),<50,-1.3,1.91,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
334,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),<50,-0.24,2.24,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
335,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),<50,-0.16,2.2,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
336,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),<50,-0.86,2.01,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
337,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),<50,-0.78,2.11,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
338,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Mental health indicators,Any (excluding cancer and respiratory diseases),<50,-0.54,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
339,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Biological markers,Any (excluding cancer and respiratory diseases),<50,-1.23,2.48,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
340,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Subjective,Any (excluding cancer and respiratory diseases),<50,-0.31,2.16,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
341,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Obstetric,Any (excluding cancer and respiratory diseases),<50,-1.49,1.84,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
342,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),<50,-0.43,2.18,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
343,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),<50,-0.35,2.18,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
344,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),<50,-1.05,1.99,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
345,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),<50,-0.98,2.1,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
346,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Mental health indicators,Any (excluding cancer and respiratory diseases),<50,-0.73,1.7,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
347,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Biological markers,Any (excluding cancer and respiratory diseases),<50,-1.43,2.42,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
348,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Subjective,Any (excluding cancer and respiratory diseases),<50,-0.5,2.09,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
349,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Obstetric,Any (excluding cancer and respiratory diseases),<50,-1.16,1.88,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
350,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),<50,-0.11,2.27,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
351,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),<50,-0.02,2.24,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
352,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),<50,-0.73,2.04,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
353,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),<50,-0.65,2.12,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
354,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Mental health indicators,Any (excluding cancer and respiratory diseases),<50,-0.4,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
355,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Biological markers,Any (excluding cancer and respiratory diseases),<50,-1.1,2.48,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
356,I-squared,Continuous,Standardised mean difference,Logit-t,Non-pharmacological vs any,Subjective,Any (excluding cancer and respiratory diseases),<50,-0.18,2.16,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
357,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Obstetric,Any (excluding cancer and respiratory diseases),>50,-0.32,1.9,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
358,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),>50,0.73,2.24,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
359,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),>50,0.82,2.19,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
360,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),>50,0.11,2,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
361,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),>50,0.19,2.1,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
362,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Mental health indicators,Any (excluding cancer and respiratory diseases),>50,0.44,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
363,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Biological markers,Any (excluding cancer and respiratory diseases),>50,-0.26,2.48,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
364,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs placebo/control,Subjective,Any (excluding cancer and respiratory diseases),>50,0.66,2.16,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
365,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Obstetric,Any (excluding cancer and respiratory diseases),>50,-0.51,1.83,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
366,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),>50,0.54,2.18,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
367,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),>50,0.63,2.18,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
368,I-squared,Continuous,Standardised mean difference,Logit-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),>50,-0.08,1.98,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
